Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","22pF","C_0805_2012Metric",319.659000,-28.829000,90.000000,bottom
"C3","22pF","C_0805_2012Metric",311.150000,-28.829000,90.000000,bottom
"C4","0.1uF","C_0805_2012Metric",307.594000,-29.972000,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",319.151000,-51.435000,180.000000,bottom
"C6","0.1uF","C_0805_2012Metric",305.308000,-42.291000,270.000000,bottom
"C7","10uF","C_0805_2012Metric",304.673000,-49.149000,270.000000,bottom
"C8","1uF","C_0805_2012Metric",302.006000,-43.307000,270.000000,bottom
"D1","D_Small","D_SOD-123",-34.226500,-33.877250,90.000000,bottom
"D2","D_Small","D_SOD-123",3.873500,-33.877250,90.000000,bottom
"D3","D_Small","D_SOD-123",23.050500,-33.877250,90.000000,bottom
"D4","D_Small","D_SOD-123",41.846500,-33.750250,90.000000,bottom
"D5","D_Small","D_SOD-123",61.150500,-33.851850,90.000000,bottom
"D6","D_Small","D_SOD-123",89.598500,-33.877250,90.000000,bottom
"D7","D_Small","D_SOD-123",108.775500,-33.877250,90.000000,bottom
"D8","D_Small","D_SOD-123",127.596900,-33.851850,90.000000,bottom
"D9","D_Small","D_SOD-123",146.646900,-33.902650,90.000000,bottom
"D10","D_Small","D_SOD-123",175.196500,-33.851850,90.000000,bottom
"D11","D_Small","D_SOD-123",194.373500,-34.004250,90.000000,bottom
"D12","D_Small","D_SOD-123",213.398100,-33.902650,90.000000,bottom
"D13","D_Small","D_SOD-123",232.448100,-33.801050,90.000000,bottom
"D14","D_Small","D_SOD-123",256.324100,-33.902650,90.000000,bottom
"D15","D_Small","D_SOD-123",275.069300,-33.902650,90.000000,bottom
"D16","D_Small","D_SOD-123",294.525700,-33.851850,90.000000,bottom
"D17","D_Small","D_SOD-123",-34.302700,-62.350650,90.000000,bottom
"D18","D_Small","D_SOD-123",-15.176500,-62.452250,90.000000,bottom
"D19","D_Small","D_SOD-123",3.898900,-62.452250,90.000000,bottom
"D20","D_Small","D_SOD-123",22.923500,-62.579250,90.000000,bottom
"D21","D_Small","D_SOD-123",41.643300,-62.553850,90.000000,bottom
"D22","D_Small","D_SOD-123",61.150500,-62.503050,90.000000,bottom
"D23","D_Small","D_SOD-123",79.895700,-62.452250,90.000000,bottom
"D24","D_Small","D_SOD-123",99.047300,-62.249050,90.000000,bottom
"D25","D_Small","D_SOD-123",118.198900,-62.401450,90.000000,bottom
"D26","D_Small","D_SOD-123",137.350500,-62.452250,90.000000,bottom
"D27","D_Small","D_SOD-123",156.349700,-62.452250,90.000000,bottom
"D28","D_Small","D_SOD-123",175.196500,-62.198250,90.000000,bottom
"D29","D_Small","D_SOD-123",194.373500,-62.325250,90.000000,bottom
"D30","D_Small","D_SOD-123",226.047300,-57.423050,270.000000,bottom
"D31","D_Small","D_SOD-123",256.349500,-62.325250,90.000000,bottom
"D32","D_Small","D_SOD-123",275.272500,-62.325250,90.000000,bottom
"D33","D_Small","D_SOD-123",294.068500,-62.452250,90.000000,bottom
"D34","D_Small","D_SOD-123",318.071500,-62.325250,90.000000,bottom
"D35","D_Small","D_SOD-123",337.375500,-62.452250,90.000000,bottom
"D36","D_Small","D_SOD-123",356.044500,-62.452250,90.000000,bottom
"D37","D_Small","D_SOD-123",374.713500,-62.452250,90.000000,bottom
"D38","D_Small","D_SOD-123",-29.400500,-81.502250,90.000000,bottom
"D39","D_Small","D_SOD-123",-5.905500,-81.502250,90.000000,bottom
"D40","D_Small","D_SOD-123",13.144500,-81.629250,90.000000,bottom
"D41","D_Small","D_SOD-123",32.296100,-81.553050,90.000000,bottom
"D42","D_Small","D_SOD-123",51.549300,-81.451450,90.000000,bottom
"D43","D_Small","D_SOD-123",70.446900,-81.451450,90.000000,bottom
"D44","D_Small","D_SOD-123",89.496900,-81.553050,90.000000,bottom
"D45","D_Small","D_SOD-123",108.648500,-81.705450,90.000000,bottom
"D46","D_Small","D_SOD-123",127.749300,-81.553050,90.000000,bottom
"D47","D_Small","D_SOD-123",146.545300,-81.553050,90.000000,bottom
"D48","D_Small","D_SOD-123",165.646100,-81.451450,90.000000,bottom
"D49","D_Small","D_SOD-123",184.746900,-81.553050,90.000000,bottom
"D50","D_Small","D_SOD-123",203.796900,-81.502250,90.000000,bottom
"D51","D_Small","D_SOD-123",230.111300,-81.807050,270.000000,bottom
"D52","D_Small","D_SOD-123",256.222500,-81.502250,90.000000,bottom
"D53","D_Small","D_SOD-123",275.272500,-81.502250,90.000000,bottom
